Título,Enlace,Votos_Texto,Clics_Texto,Votos,Clics,Ratio_Validacion_%,¿Es_Bulo_Sospechoso?
"Miguel Santos, matemático: ""Completar el álbum de cromos del Mundial cuesta, de media, 1.500 euros""",https://cadenaser.com/nacional/2026/06/24/miguel-santos-matematico-completar-el-album-de-cromos-del-mundial-cuesta-de-media-1500-euros-cadena-ser/,237,1198 clics,237,1198,19.76647206005004,False
Los visigodos y los ostrogodos jamás existieron [CAT],https://www.historiesdeuropa.cat/2026/06/els-visigots-i-els-ostrogods-no-van-existir-mai/,105,725 clics,105,725,14.46280991735537,False
Un grupo de mujeres utiliza la IA para vestir a hombres con burkas a modo de protesta satírica,https://www.20minutos.es/gonzoo/un-grupo-mujeres-utiliza-ia-para-vestir-hombres-con-burkas-modo-protesta-satirica_7006430_0.html,251,3839 clics,251,3839,6.536458333333334,False
"Grupos de menores apalizan a otros estudiantes a las salidas de los institutos de Cornellà de Llobregat: ""Nadie habla de ello""",https://metropoliabierta.elespanol.com/gran-barcelona/20260624/grupos-menores-apalizan-estudiantes-salidas-institutos-cornella-llobregat-nadie-habla/1003742769945_0.html,269,2696 clics,269,2696,9.974045235446791,False
Encontrar y salvar los árboles más grandes del mundo antes de que desaparezcan [Eng],https://www.abc.net.au/news/science/2026-06-10/finding-the-worlds-biggest-trees-before-they-disappear/106756018,205,786 clics,205,786,26.04828462515883,False
¿Quién es Lumumba Vea? El símbolo anticolonialista del Mundial 2026,https://www.noroeste.com.mx/amp/deportes/futbol/quien-es-lumumba-vea-el-simbolo-anticolonialista-del-mundial-2026-EA23541243,200,1623 clics,200,1623,12.31527093596059,False
La percepción no es la realidad,https://www.psychologytoday.com/es/blog/la-percepcion-no-es-la-realidad,137,1337 clics,137,1337,10.23916292974589,False
"Vox reclama al Estado los 1,7 millones que pagó en intereses a un banco de Orbán por un crédito que ocultaron",http://www.elplural.com/politica/espana/vox-reclama-estado-17-millones-pago-intereses-banco-orban-credito-ocultaron_393932102_amp,550,1270 clics,550,1270,43.273013375295044,False
Italia desmiente a Rutte por comentarios sobre el uso de bases por parte de EEUU en la guerra de Irán (ING),https://www.internazionale.it/ultime-notizie-reuters/2026/06/24/italy-rebukes-nato-s-rutte-over-remarks-on-us-use-of-bases-in-iran-war,282,286 clics,282,286,98.25783972125436,False
El PP de Ayuso quiere censurar nuestro festival,https://www.eldiario.es/blog/el-boletin-del-director/pp-ayuso-quiere-censurar-festival_132_13331010.html,671,2486 clics,671,2486,26.98029754724568,False
El profesorado madrileño iniciará una huelga indefinida el 14 de octubre,https://efe.com/espana/2026-06-24/huelga-indefinida-profesores-madrid/,413,496 clics,413,496,83.09859154929578,False
La ONU acusa a Israel de matar “deliberadamente” a los niños palestinos para ejecutar su plan genocida en Gaza,https://elpais.com/internacional/2026-06-23/la-onu-acusa-a-israel-de-matar-deliberadamente-a-los-ninos-palestinos-para-ejecutar-su-plan-genocida.html?amp_gsa=1&amp_js_v=a9&outputType=amp&usqp=mq331AQGsAEggAID,551,551 clics,551,551,99.81884057971014,False
"Donald Trump afirma que su asistente personal, Natalie Harp, de 34 años, es la única persona que lo quiere tanto como su esposa, Melania [ENG]",https://www.irishstar.com/news/politics/trump-claims-mysterious-blonde-aide-37338774,180,2225 clics,180,2225,8.086253369272237,False
Albares se muestra «totalmente favorable» de que se conceda la nacionalidad española a los saharauis,https://www.elcorreo.com/politica/albares-muestra-totalmente-favorable-conceda-nacionalidad-espanola-20260624185636-ntrc.html,330,332 clics,330,332,99.09909909909909,False
El seguimiento masivo del tercer día de la huelga cierra supermercados y almacenes en Gadis y Froiz [GAL],https://cig.gal/nova/o-seguimento-masivo-da-terceira-xornada-de-folga-pecha-supermercados-e-almacens-de-gadis-e-froiz.html,329,491 clics,329,491,66.869918699187,False
Un tribunal de EE.UU. rechaza el embargo de activos de la selección por deudas del Estado con las renovables,https://www.lavozdegalicia.es/noticia/economia/2026/06/24/tribunal-eeuu-rechaza-embargo-activos-seleccion-deudas-estado-renovables/00031782292331190606179.htm,221,463 clics,221,463,47.62931034482759,False
"Un hombre mata con un rifle a su mujer y a su hijo en Italia: el joven llegó a confesar que ""para mi padre es mejor estar muerto que ser gay""",https://www.telecinco.es/noticias/sucesos/20260624/hombre-mata-rifle-mujer-hijo-vado-italia-padre-mejor-muerto-ser-gay_18_019540345.html,261,653 clics,261,653,39.908256880733944,False
"Trump en mayo: “Si tuvieras un cuchillo, ni siquiera podrías cortar el estanque reflectante. Es muy resistente”. Trump ahora afirma que unos vándalos habrían dañado el estanque  con un cúter [ENG]",https://ca.news.yahoo.com/kaitlan-collins-humiliates-trump-brutal-150629974.html,229,1205 clics,229,1205,18.988391376451077,False
El PP justifica los ataques de Feijóo a Patxi López usando a su padre: “Que se acostumbren”,https://www.eldiario.es/politica/ultima-hora-comparecencia-sanchez-congreso-directo_6_13328214_1123798.html,414,1330 clics,414,1330,31.104432757325316,False
Fuerte sismo de magnitud 7.1 sacude el norte de Venezuela y se siente con fuerza en Caracas,https://www.univision.com/noticias/america-latina/sismo-de-magnitud-7-1-sacude-venezuela,278,955 clics,278,955,29.079497907949794,False
15.000 ciclos de cargas y 30 años de vida útil: CATL rompe todos los esquemas con su nueva batería de sodio,https://www.hibridosyelectricos.com/coches/15000-ciclos-cargas-30-anos-vida-util-catl-rompe-todos-esquemas-con-su-nueva-bateria-sodio_87608_102.html,315,946 clics,315,946,33.262935586061246,False
"Los cinco ""hechos irrefutables"" de Sánchez sobre las causas contra su familia",https://www.publico.es/politica/gobierno/cinco-hechos-irrefutables-sanchez-sobre-causas-familia.html,376,3423 clics,376,3423,10.981308411214954,False
"No, Keir Starmer no es ""un hombe decente que ha tenido mala suerte"" (ING)",https://www.theguardian.com/commentisfree/2026/jun/23/keir-starmer-uk-prime-minister-peter-mandelson-gaza,333,1050 clics,333,1050,31.68411037107517,False
"El ‘pegamento para nervios’ ya es real, y sí funciona",https://es.wired.com/articulos/el-pegamento-para-nervios-ya-es-real-y-si-funciona,199,714 clics,199,714,27.83216783216783,False
Los SUV y coches cada vez más grandes incrementan los riesgos de accidentes mortales en las ciudades,https://www.ecologistasenaccion.org/372287/,265,943 clics,265,943,28.072033898305083,False
